,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Crop,Sowing year,Harvest year,Yield of CT,Yield of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
305,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2014,2015,3912.0,459.0,10,8,1228.9,541.772,687.128,9.71818,26.70192,-2.48785,Loam
306,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,3503.0,816.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
307,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,4184.0,4320.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
308,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,2840.0,323.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
309,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,3554.0,1259.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
310,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,3707.0,323.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
311,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,4286.0,2262.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
312,2018,Switzerland,Agroscope Changins,46.4,6.23,clay or loam,,wheat.winter,2015,2016,2857.0,289.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
313,2012,USA,"South Carolina, Blackville",34.58,-81.55,Loamy sand, ,cotton,2002,2002,967.0,770.0,5,10,632.6,465.156,167.444,23.2,34.36752,13.78289,Loam
314,2012,USA,"South Carolina, Blackville",34.58,-81.55,Loamy sand, ,cotton,2003,2003,1770.0,1323.0,5,10,778.1,452.127,325.973,22.16667,31.58827,10.56073,Loam
315,2012,USA,"South Carolina, Florence",34.48,-80.22,Loamy sand, ,cotton,2002,2002,498.0,559.0,5,10,566.5,586.302,-19.802,23.96667,33.73912,13.67596,Loam
316,2012,USA,"South Carolina, Florence",34.48,-80.22,Loamy sand, ,cotton,2003,2003,910.0,746.0,5,10,684.9,583.839,101.061,22.93333,31.09585,11.04296,Loam
317,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1980,1980,7465.295751,6657.86,5,10,282.7,580.822,-298.122,20.46667,33.1505,5.02765,Loam
318,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1981,1981,8137.622732,8743.467618,5,10,600.3,536.187,64.113,18.8,30.63168,4.48174,Loam
319,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1982,1982,6120.641791,5985.53302,5,10,603.1,513.386,89.714,18.78333,32.13759,6.28692,Loam
320,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1983,1983,9146.649348,9617.385463,5,10,565.7,554.054,11.646,20.3,35.41029,6.61514,Loam
321,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1984,1984,12846.05618,12643.39302,5,10,413.6,572.305,-158.705,19.5,33.12348,5.74753,Loam
322,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1987,1987,11164.70258,11567.88431,5,10,492.5,572.699,-80.199,19.75,33.60631,1.71847,Loam
323,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1988,1988,11231.18467,12240.21129,5,10,376.7,571.233,-194.533,20.46667,32.92349,2.88252,Loam
324,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1989,1989,10491.30331,11635.4387,5,10,530.0,525.675,4.325,19.0,31.65058,4.48831,Loam
325,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1990,1990,10222.15806,11097.14819,5,10,546.3,563.897,-17.597,19.8,31.05623,4.28486,Loam
326,1999,USA,"Nebraska, Clay Center (South Central Research and Extension Center)",40.52,-98.06,silt loam,,maize,1991,1991,10155.67596,11971.06604,5,10,359.8,547.163,-187.363,20.51667,33.44086,3.20611,Loam
327,2018,Italy,Teramo,42.7,13.87,available,8.1,wheat.winter,2015,2016,5500.0,5400.0,11,7,622.9,575.759,47.141,15.0,24.93683,-1.25412,Loam
328,2018,Italy,Teramo,42.7,13.87,available,8.1,wheat.winter,2016,2017,3300.0,3200.0,11,7,655.1,597.779,57.321,15.16667,25.79672,-2.80289,Loam
329,2018,Italy,Teramo,42.7,13.87,available,8.1,wheat.winter,2015,2016,5500.0,6100.0,11,7,622.9,575.759,47.141,15.0,24.93683,-1.25412,Loam
330,2018,Italy,Teramo,42.7,13.87,available,8.1,wheat.winter,2016,2017,3200.0,3300.0,11,7,655.1,597.779,57.321,15.16667,25.79672,-2.80289,Loam
331,2018,Italy,Veneto Region low plain,45.05,11.88,silty loam,,maize,2017,2017,9470.0,4050.0,4,9,310.0,568.509,-258.509,21.25,33.94712,8.06742,Loam
332,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,5940.0,6120.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
333,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,5730.0,5550.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
334,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,5550.0,5310.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
335,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,5810.0,5400.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
336,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,6670.0,5420.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
337,1986,UK,Edinburgh (10 km south of Edinburgh),55.94,-3.21,sandy clay loam, ,barley.winter,1981,1982,5370.0,4090.0,10,6,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
338,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,2594.0,2585.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
339,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,2425.0,2407.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
340,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,1528.0,1493.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
341,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,2278.0,2207.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
342,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,1879.0,1815.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
343,1998,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,1993,992.0,911.0,5,9,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
344,1986,UK,Oxfordshire,51.65,-1.64,54% clay and 39% silt,5.5,wheat.winter,1981,1982,5590.0,6130.0,10,7,658.8,351.528,307.272,9.31,20.71284,-1.01262,Loam
345,1986,UK,Oxfordshire (SU 248947),51.65,-1.64,54% clay and 39% silt,5.5,wheat.winter,1981,1982,6960.0,7860.0,10,7,658.8,351.528,307.272,9.31,20.71284,-1.01262,Loam
346,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1990,1991,1936.0,2204.0,12,6,168.6,479.035,-310.435,13.92857,27.82643,0.03029,Loam
347,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1993,1994,2424.0,2717.0,12,6,110.5,489.907,-379.407,15.94286,28.29299,0.10959,Loam
348,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1995,1996,2693.0,3136.0,12,6,351.6,482.491,-130.891,15.87143,27.58309,1.11203,Loam
349,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1996,1997,2475.0,2349.0,12,6,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
350,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1997,1998,3740.0,2953.0,12,6,201.1,482.803,-281.703,16.21429,28.46006,2.45313,Loam
351,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,1998,1999,3046.0,2032.0,12,6,240.7,484.196,-243.496,15.78571,27.16659,0.12838,Loam
352,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,2001,2002,3089.0,3248.0,12,6,215.3,475.366,-260.066,15.17143,28.85815,-1.6621,Loam
353,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,barley.winter,2003,2004,3559.0,3701.0,12,6,303.2,480.802,-177.602,14.88571,29.56164,2.25824,Loam
354,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,1994,1995,1401.0,1401.0,12,6,64.9,518.498,-453.598,14.57143,26.00383,3.18793,Clay loam
355,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,1995,1996,3784.0,4086.0,12,6,318.1,529.182,-211.082,14.17143,27.52602,2.47763,Clay loam
356,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,1997,1998,3296.0,3136.0,12,6,223.5,528.828,-305.328,14.74286,27.58691,3.67522,Clay loam
357,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,1998,1999,2463.0,2775.0,12,6,289.5,527.833,-238.333,14.25714,26.79505,1.79978,Clay loam
358,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,1999,2000,2481.0,2657.0,12,6,158.4,536.065,-377.665,14.21429,27.61798,-0.5281,Clay loam
359,2007,Spain,El Canos,41.68,1.2,fine loamy, ,barley.winter,2000,2001,2692.0,3600.0,12,6,247.7,542.54,-294.84,15.24286,29.01866,3.79649,Clay loam
360,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1987,1988,5645.0,5401.0,12,6,426.5,477.839,-51.339,11.07143,23.15223,1.87405,Loam
361,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1990,1991,3279.0,3238.0,12,6,309.7,484.054,-174.354,9.92857,25.2349,0.29868,Loam
362,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1991,1992,3834.0,4375.0,12,6,462.2,472.595,-10.395,9.95714,21.13165,-0.74854,Loam
363,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1994,1995,4635.0,5000.0,12,6,150.8,485.357,-334.557,11.78571,23.68471,1.46335,Loam
364,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1995,1996,3391.0,2808.0,12,6,454.5,497.658,-43.158,11.5,25.02478,1.10156,Loam
365,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,1998,1999,4192.0,4733.0,12,6,339.7,493.124,-153.424,11.6,24.61128,0.71023,Loam
366,2007,Spain,Selvanera,41.82,1.28,loam, ,barley.winter,2002,2003,4492.0,4302.0,12,6,339.4,493.707,-154.307,12.41429,29.39943,0.82573,Loam
367,2007,Spain,Agramunt,41.8,1.12,clay silt loam, ,wheat.winter,2002,2003,2001.0,2603.0,11,6,293.4,492.234,-198.834,15.9125,32.01639,0.60907,Loam
368,2007,Spain,Selvanera,41.82,1.28,loam, ,wheat.winter,1993,1994,4459.0,5419.0,11,6,235.0,519.431,-284.431,11.075,25.51853,0.53853,Loam
369,2007,Spain,Selvanera,41.82,1.28,loam, ,wheat.winter,1997,1998,7250.0,6234.0,11,6,330.2,507.367,-177.167,11.4625,25.38628,2.38834,Loam
370,2007,Spain,Selvanera,41.82,1.28,loam, ,wheat.winter,1999,2000,3096.0,3163.0,11,6,302.8,507.544,-204.744,10.5625,25.62609,-1.11686,Loam
371,2007,Spain,Selvanera,41.82,1.28,loam, ,wheat.winter,2001,2002,4898.0,5127.0,11,6,424.8,491.98,-67.18,10.3125,25.87,-1.27406,Loam
372,2007,Spain,Selvanera,41.82,1.28,loam, ,wheat.winter,2003,2004,2720.0,2476.0,11,6,460.0,504.507,-44.507,10.625,26.66073,2.04832,Loam
373,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1981,1982,4279.0,4755.0,10,8,1254.9,481.009,773.891,8.10909,22.11352,-2.40188,Loam
374,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1987,1988,4561.0,5096.0,10,8,1255.0,484.634,770.366,8.50909,22.19896,-2.25902,Loam
375,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1989,1990,4383.0,3981.0,10,8,1120.6,510.718,609.882,8.79091,22.93335,-2.29499,Loam
376,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1993,1994,5230.0,5394.0,10,8,1447.3,504.491,942.809,8.71818,25.26479,-1.14181,Loam
377,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1995,1996,5439.0,5320.0,10,8,1061.4,497.18,564.22,7.86364,20.22136,-3.52719,Loam
378,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1997,1998,4710.0,5052.0,10,8,1189.7,513.446,676.254,8.87273,22.36296,-1.001,Loam
379,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1999,2000,4532.0,4710.0,10,8,1162.7,519.583,643.117,8.62727,22.8863,-2.85452,Loam
380,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2001,2002,4799.0,4993.0,10,8,1117.7,503.194,614.506,8.40909,22.17702,-3.45027,Loam
381,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2003,2004,5781.0,5200.0,10,8,1222.9,524.093,698.807,8.12727,21.98541,-1.84949,Loam
382,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2005,2006,5721.0,5141.0,10,8,1256.2,511.812,744.388,8.2,27.43366,-3.76578,Loam
383,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2007,2008,4576.0,4487.0,10,8,1324.5,500.22,824.28,8.14545,21.87938,-1.92205,Loam
384,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2009,2010,4814.0,4160.0,10,8,1199.6,497.367,702.233,8.03636,24.96853,-4.42093,Loam
385,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2011,2012,5007.0,4933.0,10,8,1160.6,530.791,629.809,8.79091,23.65846,-7.58298,Loam
386,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2013,2014,3714.0,3758.0,10,8,1402.8,500.95,901.85,8.96364,21.53454,-1.35621,Loam
387,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2015,2016,3089.0,2926.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
388,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1981,1982,4755.0,6465.0,10,8,1254.9,481.009,773.891,8.10909,22.11352,-2.40188,Loam
389,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1987,1988,6509.0,6657.0,10,8,1255.0,484.634,770.366,8.50909,22.19896,-2.25902,Loam
390,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1989,1990,5245.0,4695.0,10,8,1120.6,510.718,609.882,8.79091,22.93335,-2.29499,Loam
391,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1993,1994,6063.0,6063.0,10,8,1447.3,504.491,942.809,8.71818,25.26479,-1.14181,Loam
392,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1995,1996,6509.0,6063.0,10,8,1061.4,497.18,564.22,7.86364,20.22136,-3.52719,Loam
393,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1997,1998,4963.0,4755.0,10,8,1189.7,513.446,676.254,8.87273,22.36296,-1.001,Loam
394,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,1999,2000,4859.0,4561.0,10,8,1162.7,519.583,643.117,8.62727,22.8863,-2.85452,Loam
395,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2001,2002,4561.0,4933.0,10,8,1117.7,503.194,614.506,8.40909,22.17702,-3.45027,Loam
396,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2003,2004,6881.0,6687.0,10,8,1222.9,524.093,698.807,8.12727,21.98541,-1.84949,Loam
397,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2005,2006,6569.0,6004.0,10,8,1256.2,511.812,744.388,8.2,27.43366,-3.76578,Loam
398,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2007,2008,5409.0,5216.0,10,8,1324.5,500.22,824.28,8.14545,21.87938,-1.92205,Loam
399,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2009,2010,6197.0,5810.0,10,8,1199.6,497.367,702.233,8.03636,24.96853,-4.42093,Loam
400,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2011,2012,6242.0,6063.0,10,8,1160.6,530.791,629.809,8.79091,23.65846,-7.58298,Loam
401,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2013,2014,4606.0,4115.0,10,8,1402.8,500.95,901.85,8.96364,21.53454,-1.35621,Loam
402,2019,Switzerland,Agroscope Changins,46.4,6.23,Calcaric Cambisol,6.4,wheat.winter,2015,2016,3089.0,3283.0,10,8,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
403,1990,Canada,"Alberta, Lethbridge",49.7,-112.8,loam, ,barley.spring,1983,1983,1320.0,1512.0,5,9,179.3,417.487,-238.187,14.4,27.09392,2.66845,Silt loam
404,1990,Canada,"Alberta, Lethbridge",49.7,-112.8,loam, ,barley.spring,1984,1984,138.0,293.0,5,9,219.0,418.066,-199.066,13.94,26.11231,2.94369,Silt loam
405,1990,Canada,"Alberta, Vauxhall",50.07,-112.11,clay loam, ,barley.spring,1983,1983,2863.0,1700.0,5,9,172.9,410.89,-237.99,15.16,29.34065,3.89239,Silt loam
406,1990,Canada,"Alberta, Vauxhall",50.07,-112.11,clay loam, ,barley.spring,1984,1984,434.0,574.0,5,9,158.2,398.808,-240.608,15.04,27.95674,3.57606,Silt loam
407,2008,USA,"Kansas, Marshall County",39.8,-96.5,silty clay loam, ,wheat.winter,2005,2006,3450.0,3660.0,10,7,541.6,680.703,-139.103,13.71,33.37428,-8.10047,Loam
408,2008,USA,"Kansas, Marshall County",39.8,-96.5,silty clay loam, ,wheat.winter,2005,2006,3380.0,3170.0,10,7,541.6,680.703,-139.103,13.71,33.37428,-8.10047,Loam
409,2008,USA,"Kansas, Riley County",39.3,-96.7,silt loam, ,wheat.winter,2005,2006,4220.0,4210.0,10,7,640.6,701.89,-61.29,14.41,34.73979,-8.7998,Loam
410,2008,USA,"Kansas, Riley County",39.3,-96.7,silt loam, ,wheat.winter,2005,2006,4480.0,4320.0,10,7,640.6,701.89,-61.29,14.41,34.73979,-8.7998,Loam
411,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2005,2006,2730.0,3060.0,10,7,642.8,710.794,-67.994,14.58,36.05955,-6.83651,Loam
412,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2004,2005,4200.0,4400.0,10,7,783.3,697.924,85.376,13.77,34.3239,-6.31866,Loam
413,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2005,2006,3020.0,3120.0,10,7,642.8,710.794,-67.994,14.58,36.05955,-6.83651,Loam
414,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2004,2005,4800.0,4600.0,10,7,783.3,697.924,85.376,13.77,34.3239,-6.31866,Loam
415,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2004,2005,4000.0,3800.0,10,7,783.3,697.924,85.376,13.77,34.3239,-6.31866,Loam
416,2008,USA,"Kansas, Saline County",38.92,-97.65,silt loam, ,wheat.winter,2004,2005,4400.0,3900.0,10,7,783.3,697.924,85.376,13.77,34.3239,-6.31866,Loam
417,2007,France,Grignon (INRA),48.15,1.15,"Orthic Luvisol with 250 g kg−1 clay, 500 g kg−1 silt and 250 g kg−1 sand in the topsoil", ,wheat.winter,2002,2003,4578.0,5015.0,10,8,661.8,536.167,125.633,13.68182,30.85393,0.65695,Loam
418,2007,France,Grignon (INRA),48.15,1.15,"Orthic Luvisol with 250 g kg−1 clay, 500 g kg−1 silt and 250 g kg−1 sand in the topsoil", ,wheat.winter,2003,2004,7607.0,7962.0,10,8,625.8,498.839,126.961,12.34545,24.76107,1.77424,Loam
419,2007,France,Grignon (INRA),48.15,1.15,"Orthic Luvisol with 250 g kg−1 clay, 500 g kg−1 silt and 250 g kg−1 sand in the topsoil", ,wheat.winter,2004,2005,8752.0,8197.0,10,8,489.5,490.671,-1.171,12.5,25.68042,0.65286,Loam
420,1995,USA,"North Carolina, Oxford",36.32,-78.58,sandy loam, ,maize,1987,1987,1590.0,2650.0,4,9,562.7,612.8,-50.1,21.91667,33.37787,6.39951,Loam
421,1995,USA,"North Carolina, Reidsville",36.34,-79.68,sandy clay loam, ,maize,1987,1987,850.0,4260.0,4,9,733.5,594.217,139.283,21.8,32.52586,7.40057,Loam
422,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2000,2000,9090.0,8200.0,5,10,568.9,552.133,16.767,20.28333,27.7814,7.58185,Sandy clay loam
423,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2001,2001,7810.0,7750.0,5,10,544.1,602.167,-58.067,20.15,29.46641,7.04664,Sandy clay loam
424,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2002,2002,3360.0,3810.0,5,10,483.2,602.573,-119.373,21.5,31.59027,9.1854,Sandy clay loam
425,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2003,2003,5590.0,4300.0,5,10,911.2,517.77,393.43,20.25,29.59638,7.15413,Sandy clay loam
426,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2004,2004,11700.0,12500.0,5,10,652.3,545.786,106.514,21.15,29.26216,8.45563,Sandy clay loam
427,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,maize,2005,2005,10600.0,10300.0,5,10,567.6,567.167,0.433,21.33333,30.5935,9.51183,Sandy clay loam
428,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,soybean,2001,2001,4240.0,4310.0,6,11,446.6,510.595,-63.995,19.13333,29.46641,4.38719,Sandy clay loam
429,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,soybean,2002,2002,2050.0,1750.0,6,11,526.1,495.654,30.446,19.91667,31.59027,2.5357,Sandy clay loam
430,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,soybean,2003,2003,3390.0,4050.0,6,11,876.1,461.629,414.471,19.46667,29.59638,5.02537,Sandy clay loam
431,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,soybean,2004,2004,3630.0,4030.0,6,11,687.6,444.965,242.635,19.2,29.26216,4.28236,Sandy clay loam
432,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,soybean,2005,2005,4160.0,4350.0,6,11,488.1,488.327,-0.227,20.4,30.5935,3.3773,Sandy clay loam
433,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,wheat.winter,1999,2000,2970.0,3290.0,10,7,1003.0,663.933,339.067,14.57,27.7814,-3.45609,Sandy clay loam
434,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,wheat.winter,2000,2001,4790.0,4630.0,10,7,889.6,708.461,181.139,13.1,27.66552,-5.82987,Sandy clay loam
435,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,wheat.winter,2001,2002,5010.0,4030.0,10,7,588.9,735.876,-146.976,15.74,31.59027,-1.96212,Sandy clay loam
436,2008,USA,"Maryland, Beltsville ",39.08,-76.65,silt loam, ,wheat.winter,2004,2005,5000.0,5040.0,10,7,963.5,671.431,292.069,14.09,30.56928,-2.86978,Sandy clay loam
437,2011,Turkey,"Adana, Cukorova University Ag Experiment Station",37.0,35.35,clay, ,maize,2007,2007,11710.0,12160.0,5,9,53.6,702.398,-648.798,25.9,33.66442,18.44878,Clay loam
438,2011,Turkey,"Adana, Cukorova University Ag Experiment Station",37.0,35.35,clay, ,soybean,2008,2008,4320.0,4170.0,4,8,40.9,717.116,-676.216,24.28,33.85254,13.79313,Clay loam
439,2011,Turkey,"Adana, Cukorova University Ag Experiment Station",37.0,35.35,clay, ,wheat.winter,2006,2007,4500.0,5160.0,10,7,600.7,902.37,-301.67,19.79,33.66442,4.19177,Clay loam
440,2011,Turkey,"Adana, Cukorova University Ag Experiment Station",37.0,35.35,clay, ,wheat.winter,2007,2008,7210.0,6300.0,10,7,411.3,915.919,-504.619,20.43,32.55568,2.89931,Clay loam
441,2011,Turkey,"Adana, Cukorova University Ag Experiment Station",37.0,35.35,clay, ,wheat.winter,2008,2009,6840.0,6380.0,10,7,611.7,893.423,-281.723,20.3,32.46207,6.37428,Clay loam
442,2007,Denmark,Foulum,56.49,9.58,loam,6.1,barley.spring,2004,2004,5600.0,4100.0,5,9,396.9,311.888,85.012,13.62,22.86561,7.26739,Sandy loam
443,2012,Philippines,"Los Banos, IRRI",14.17,121.23,"sand of 29%, silt of 44%, and clay of 27%",6.5,rice,2011,2011,3230.0,3510.0,5,10,1763.2,835.053,928.147,27.75,32.80416,24.01985,Loam
444,2012,Philippines,"Los Banos, IRRI",14.17,121.23,"sand of 29%, silt of 44%, and clay of 27%",6.5,rice,2011,2011,3240.0,3410.0,5,10,1763.2,835.053,928.147,27.75,32.80416,24.01985,Loam
445,2012,Philippines,"Los Banos, IRRI",14.17,121.23,"sand of 29%, silt of 44%, and clay of 27%",6.5,rice,2011,2011,3630.0,3630.0,5,10,1763.2,835.053,928.147,27.75,32.80416,24.01985,Loam
